2026-01-25 02:09:08.353 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-1192224.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.459 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-1347002.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.568 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-1953033.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.672 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-1994414.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.775 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-2038544.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.944 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-2082641.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.108 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-2467670.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.212 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-2655904.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.322 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-631093.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.331 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-insignia-1366x768.jpg: image file is truncated (1 bytes not processed)
2026-01-25 02:09:09.447 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-insignia.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.570 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-insignia2.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.685 | ERROR    | wallcat.main:classify:129 - Falha em Wallpaper.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.795 | ERROR    | wallcat.main:classify:129 - Falha em Wallpapers-room_com___Brazil_Leather_Wallpaper_by_igorrcarvalho_1440x900.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:09.905 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_1175390050.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:10.026 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_1584665693.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:10.158 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_1877304686.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:10.337 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_2058906785.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:10.478 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_28708454.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:10.588 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_632497876.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:10.878 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper_yourFuture.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:11.006 | ERROR    | wallcat.main:classify:129 - Falha em windows-8-m3-1306499269.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:11.184 | ERROR    | wallcat.main:classify:129 - Falha em Windows_8_Bliss_by_rehsup_.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:11.589 | ERROR    | wallcat.main:classify:129 - Falha em world-of-tanks-3840x2160-22118.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:11.773 | ERROR    | wallcat.main:classify:129 - Falha em wp-react_1920x1080.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:12.068 | ERROR    | wallcat.main:classify:129 - Falha em wp2015877-dystopia-wallpapers.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:12.247 | ERROR    | wallcat.main:classify:129 - Falha em wp2015884-dystopia-wallpapers.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:12.371 | ERROR    | wallcat.main:classify:129 - Falha em wp2015886-dystopia-wallpapers.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:12.521 | ERROR    | wallcat.main:classify:129 - Falha em wp2015892-dystopia-wallpapers.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:12.684 | ERROR    | wallcat.main:classify:129 - Falha em wp2015903-dystopia-wallpapers.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:13.021 | ERROR    | wallcat.main:classify:129 - Falha em wp2015908-dystopia-wallpapers.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:13.240 | ERROR    | wallcat.main:classify:129 - Falha em wp2015921-dystopia-wallpapers.jpg: attempt to get argmax of an empty sequence
